Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-11-06 00:00:00-05:00,81.93954628674993,83.05007529517486,81.87253210893103,83.00220489501953,385900,0.0,0.0
2018-11-07 00:00:00-05:00,83.60532670950117,84.11272073411683,82.57138758160713,83.95954132080078,495600,0.0,0.0
2018-11-08 00:00:00-05:00,83.26068824233109,84.15102358081192,83.22239338536451,83.75850677490234,533400,0.0,0.0
2018-11-09 00:00:00-05:00,83.53831694952609,84.16059556695924,82.868167936907,83.21281433105469,567900,0.0,0.0
2018-11-12 00:00:00-05:00,83.21282277282634,83.7776628165357,82.11186930783155,82.21717834472656,331200,0.0,0.0
2018-11-13 00:00:00-05:00,82.31292736369267,83.74895186037678,82.2267620958125,83.09795379638672,519200,0.0,0.0
2018-11-14 00:00:00-05:00,83.7393483218999,84.42864101849564,81.85336894482425,82.76284790039062,505300,0.0,0.0
2018-11-15 00:00:00-05:00,82.07358760432774,83.05965656192491,81.32684875201329,82.82988739013672,650100,0.0,0.0
2018-11-16 00:00:00-05:00,82.18844362270511,82.9926209079135,81.25024531129085,82.7149887084961,952700,0.0,0.0
2018-11-19 00:00:00-05:00,82.73414200995572,83.51916830753883,82.31291319681159,83.27983093261719,440300,0.0,0.0
2018-11-20 00:00:00-05:00,82.73412526065536,83.25109476230668,81.7289128718852,82.01611328125,664000,0.0,0.0
2018-11-21 00:00:00-05:00,82.09271692757099,83.83509266815958,81.84380402063069,82.42778778076172,428300,0.0,0.0
2018-11-23 00:00:00-05:00,81.7672245161689,83.27026294296573,81.45129742737792,82.38949584960938,223900,0.0,0.0
2018-11-26 00:00:00-05:00,83.43301542491146,83.94998506261457,82.48524140778784,83.1170883178711,477000,0.0,0.0
2018-11-27 00:00:00-05:00,82.74371903568685,83.25111311099117,81.37470893439537,81.48959350585938,709800,0.0,0.0
2018-11-28 00:00:00-05:00,81.34599749691213,84.15103214521938,81.19281805345611,84.1414566040039,810100,0.0,0.0
2018-11-29 00:00:00-05:00,83.404281943915,84.25632232137083,83.34683601348236,83.59574890136719,540900,0.0,0.0
2018-11-30 00:00:00-05:00,83.59575544785339,83.96912115692125,82.69584460856328,82.72457122802734,813600,0.0,0.0
2018-12-03 00:00:00-05:00,83.3755744248835,85.43387755695676,82.44695143413222,82.85861206054688,538300,0.0,0.0
2018-12-04 00:00:00-05:00,82.6479708651395,82.6479708651395,78.60795545286062,78.71326446533203,780900,0.0,0.0
2018-12-06 00:00:00-05:00,77.60273433784253,78.04311415307974,75.98481893716567,77.54529571533203,1093600,0.0,0.0
2018-12-07 00:00:00-05:00,77.44956430837634,78.78985486666141,76.52093426505034,76.82728576660156,782800,0.0,0.0
2018-12-10 00:00:00-05:00,76.73155139089528,76.85600417619055,74.07012138291992,75.55400848388672,629000,0.0,0.0
2018-12-11 00:00:00-05:00,76.444347259701,76.7889936241006,74.5200729424693,74.72112274169922,861400,0.0,0.0
2018-12-12 00:00:00-05:00,75.98484792999487,76.2146098117007,74.84559945553931,75.19982147216797,907300,0.0,0.0
2018-12-13 00:00:00-05:00,75.36256243922237,75.83166170282485,74.26160892734086,74.69241333007812,1047300,0.0,0.0
2018-12-14 00:00:00-05:00,74.10844119797689,74.43393657870412,73.61061528110213,73.8499526977539,847700,0.0,0.0
2018-12-17 00:00:00-05:00,73.61059340059283,74.41477067958286,72.39476289916269,72.65324401855469,1111300,0.0,0.0
2018-12-18 00:00:00-05:00,72.81601917553981,73.89782906058406,72.38521471243297,72.59583282470703,685100,0.0,0.0
2018-12-19 00:00:00-05:00,72.5096562924844,73.65848018907799,70.94917908180881,71.26510620117188,839900,0.0,0.0
2018-12-20 00:00:00-05:00,70.78642387528106,71.53315531145141,69.92480787047027,70.67153930664062,716600,0.0,0.0
2018-12-21 00:00:00-05:00,70.37475962328642,71.89694173224066,69.29295007778138,69.43655395507812,1127800,0.0,0.0
2018-12-24 00:00:00-05:00,68.91002116947,69.37912038578868,67.58887416678067,67.59844970703125,262100,0.0,0.0
2018-12-26 00:00:00-05:00,67.73248184486732,70.34604937574974,66.70811810064549,70.30775451660156,553000,0.0,0.0
2018-12-27 00:00:00-05:00,69.3312437708044,71.13106536865234,68.8525690571634,71.13106536865234,527200,0.0,0.0
2018-12-28 00:00:00-05:00,71.30340657257315,71.76293032352946,70.49922905240214,70.70027160644531,447700,0.0,0.0
2018-12-31 00:00:00-05:00,70.93960433094796,71.57145857671244,70.6141089708859,71.35126495361328,455600,0.0,0.0
2019-01-02 00:00:00-05:00,70.56622475119221,73.23723050490966,70.38432602442403,73.11277770996094,939100,0.0,0.0
2019-01-03 00:00:00-05:00,72.79618581280947,73.46774175835432,71.89439298894112,71.9615478515625,677600,0.16,0.0
2019-01-04 00:00:00-05:00,73.14153628881196,74.82041472653354,72.72901157991294,74.51342010498047,784100,0.0,0.0
2019-01-07 00:00:00-05:00,74.23523386893402,75.3193147648521,73.50612593462766,74.79166412353516,642100,0.0,0.0
2019-01-08 00:00:00-05:00,75.14661581473226,75.65507507324219,74.3119705877837,75.65507507324219,651800,0.0,0.0
2019-01-09 00:00:00-05:00,75.5783458431775,76.71039042989393,75.5783458431775,76.47055053710938,525100,0.0,0.0
2019-01-10 00:00:00-05:00,76.33621761409063,76.83508121916735,76.11556175919314,76.57605743408203,354400,0.0,0.0
2019-01-11 00:00:00-05:00,76.19232735416816,76.91184695670033,75.77980248927642,76.82550811767578,383300,0.0,0.0
2019-01-14 00:00:00-05:00,76.14434381116129,77.2476010570282,76.14434381116129,76.7679214477539,431500,0.0,0.0
2019-01-15 00:00:00-05:00,76.66240559544946,77.24760803786505,76.38419051860858,77.22842407226562,341900,0.0,0.0
2019-01-16 00:00:00-05:00,77.73688654959123,78.29331672629726,77.20924330147146,77.9575424194336,610300,0.0,0.0
2019-01-17 00:00:00-05:00,77.49704510823705,78.49477968463181,77.22842566830977,78.37965393066406,554500,0.0,0.0
2019-01-18 00:00:00-05:00,78.93608833348311,78.95527961984007,78.15900958064348,78.64828491210938,752300,0.0,0.0
